network,mask,binary_network,mask_binary,interface
52.250.117.114/8,255.0.0.0,00110100111110100111010101110010,11111111000000000000000000000000,ethernet36
65.2.212.113/8,255.0.0.0,01000001000000101101010001110001,11111111000000000000000000000000,ethernet19
203.233.67.77/24,255.255.255.0,11001011111010010100001101001101,11111111111111111111111100000000,ethernet12
38.121.233.222/8,255.0.0.0,00100110011110011110100111011110,11111111000000000000000000000000,ethernet22
176.101.172.94/16,255.255.0.0,10110000011001011010110001011110,11111111111111110000000000000000,ethernet30
159.158.211.187/16,255.255.0.0,10011111100111101101001110111011,11111111111111110000000000000000,ethernet16
78.122.239.212/8,255.0.0.0,01001110011110101110111111010100,11111111000000000000000000000000,ethernet40
82.25.23.175/8,255.0.0.0,01010010000110010001011110101111,11111111000000000000000000000000,ethernet10
36.123.14.38/8,255.0.0.0,00100100011110110000111000100110,11111111000000000000000000000000,ethernet8
131.239.187.129/16,255.255.0.0,10000011111011111011101110000001,11111111111111110000000000000000,ethernet32
115.78.196.123/8,255.0.0.0,01110011010011101100010001111011,11111111000000000000000000000000,ethernet19
159.102.148.195/16,255.255.0.0,10011111011001101001010011000011,11111111111111110000000000000000,ethernet1
200.13.80.168/24,255.255.255.0,11001000000011010101000010101000,11111111111111111111111100000000,ethernet27
14.172.242.101/8,255.0.0.0,00001110101011001111001001100101,11111111000000000000000000000000,ethernet20
77.85.122.150/8,255.0.0.0,01001101010101010111101010010110,11111111000000000000000000000000,ethernet16
102.237.131.149/8,255.0.0.0,01100110111011011000001110010101,11111111000000000000000000000000,ethernet14
142.140.254.157/16,255.255.0.0,10001110100011001111111010011101,11111111111111110000000000000000,ethernet37
147.119.206.91/16,255.255.0.0,10010011011101111100111001011011,11111111111111110000000000000000,ethernet33
42.196.199.120/8,255.0.0.0,00101010110001001100011101111000,11111111000000000000000000000000,ethernet35
199.243.213.120/24,255.255.255.0,11000111111100111101010101111000,11111111111111111111111100000000,ethernet10
62.68.154.111/8,255.0.0.0,00111110010001001001101001101111,11111111000000000000000000000000,ethernet17
94.227.110.32/8,255.0.0.0,01011110111000110110111000100000,11111111000000000000000000000000,ethernet8
43.27.171.11/8,255.0.0.0,00101011000110111010101100001011,11111111000000000000000000000000,ethernet24
173.104.2.99/16,255.255.0.0,10101101011010000000001001100011,11111111111111110000000000000000,ethernet36
93.21.116.127/8,255.0.0.0,01011101000101010111010001111111,11111111000000000000000000000000,ethernet16
191.51.183.97/16,255.255.0.0,10111111001100111011011101100001,11111111111111110000000000000000,ethernet33
57.194.91.75/8,255.0.0.0,00111001110000100101101101001011,11111111000000000000000000000000,ethernet32
61.105.147.19/8,255.0.0.0,00111101011010011001001100010011,11111111000000000000000000000000,ethernet21
25.153.93.187/8,255.0.0.0,00011001100110010101110110111011,11111111000000000000000000000000,ethernet16
28.142.167.57/8,255.0.0.0,00011100100011101010011100111001,11111111000000000000000000000000,ethernet25
180.182.220.155/16,255.255.0.0,10110100101101101101110010011011,11111111111111110000000000000000,ethernet34
35.25.80.115/8,255.0.0.0,00100011000110010101000001110011,11111111000000000000000000000000,ethernet39
9.218.249.222/8,255.0.0.0,00001001110110101111100111011110,11111111000000000000000000000000,ethernet14
131.151.110.15/16,255.255.0.0,10000011100101110110111000001111,11111111111111110000000000000000,ethernet8
46.134.168.237/8,255.0.0.0,00101110100001101010100011101101,11111111000000000000000000000000,ethernet48
202.162.86.76/24,255.255.255.0,11001010101000100101011001001100,11111111111111111111111100000000,ethernet37
0.23.130.123/8,255.0.0.0,00000000000101111000001001111011,11111111000000000000000000000000,ethernet20
109.93.209.20/8,255.0.0.0,01101101010111011101000100010100,11111111000000000000000000000000,ethernet24
103.132.173.213/8,255.0.0.0,01100111100001001010110111010101,11111111000000000000000000000000,ethernet16
132.145.52.91/16,255.255.0.0,10000100100100010011010001011011,11111111111111110000000000000000,ethernet24
145.170.11.216/16,255.255.0.0,10010001101010100000101111011000,11111111111111110000000000000000,ethernet38
86.193.161.118/8,255.0.0.0,01010110110000011010000101110110,11111111000000000000000000000000,ethernet37
29.101.167.246/8,255.0.0.0,00011101011001011010011111110110,11111111000000000000000000000000,ethernet38
92.222.206.151/8,255.0.0.0,01011100110111101100111010010111,11111111000000000000000000000000,ethernet16
29.78.221.49/8,255.0.0.0,00011101010011101101110100110001,11111111000000000000000000000000,ethernet8
182.126.192.141/16,255.255.0.0,10110110011111101100000010001101,11111111111111110000000000000000,ethernet24
14.68.15.222/8,255.0.0.0,00001110010001000000111111011110,11111111000000000000000000000000,ethernet28
43.117.211.233/8,255.0.0.0,00101011011101011101001111101001,11111111000000000000000000000000,ethernet45
155.91.137.212/16,255.255.0.0,10011011010110111000100111010100,11111111111111110000000000000000,ethernet30
84.197.128.135/8,255.0.0.0,01010100110001011000000010000111,11111111000000000000000000000000,ethernet9
158.191.140.226/16,255.255.0.0,10011110101111111000110011100010,11111111111111110000000000000000,ethernet17
161.146.126.116/16,255.255.0.0,10100001100100100111111001110100,11111111111111110000000000000000,ethernet41
146.71.86.164/16,255.255.0.0,10010010010001110101011010100100,11111111111111110000000000000000,ethernet30
175.29.22.135/16,255.255.0.0,10101111000111010001011010000111,11111111111111110000000000000000,ethernet26
32.72.27.182/8,255.0.0.0,00100000010010000001101110110110,11111111000000000000000000000000,ethernet19
114.244.38.243/8,255.0.0.0,01110010111101000010011011110011,11111111000000000000000000000000,ethernet22
216.191.151.199/24,255.255.255.0,11011000101111111001011111000111,11111111111111111111111100000000,ethernet18
139.83.210.232/16,255.255.0.0,10001011010100111101001011101000,11111111111111110000000000000000,ethernet40
119.50.245.221/8,255.0.0.0,01110111001100101111010111011101,11111111000000000000000000000000,ethernet41
216.39.9.171/24,255.255.255.0,11011000001001110000100110101011,11111111111111111111111100000000,ethernet34
160.10.105.6/16,255.255.0.0,10100000000010100110100100000110,11111111111111110000000000000000,ethernet46
195.144.215.245/24,255.255.255.0,11000011100100001101011111110101,11111111111111111111111100000000,ethernet32
199.94.168.161/24,255.255.255.0,11000111010111101010100010100001,11111111111111111111111100000000,ethernet25
149.88.216.248/16,255.255.0.0,10010101010110001101100011111000,11111111111111110000000000000000,ethernet41
44.19.50.72/8,255.0.0.0,00101100000100110011001001001000,11111111000000000000000000000000,ethernet25
24.172.111.181/8,255.0.0.0,00011000101011000110111110110101,11111111000000000000000000000000,ethernet41
123.121.226.67/8,255.0.0.0,01111011011110011110001001000011,11111111000000000000000000000000,ethernet41
44.187.13.235/8,255.0.0.0,00101100101110110000110111101011,11111111000000000000000000000000,ethernet33
104.155.196.182/8,255.0.0.0,01101000100110111100010010110110,11111111000000000000000000000000,ethernet48
218.132.185.250/24,255.255.255.0,11011010100001001011100111111010,11111111111111111111111100000000,ethernet43
134.245.79.171/16,255.255.0.0,10000110111101010100111110101011,11111111111111110000000000000000,ethernet26
34.220.188.149/8,255.0.0.0,00100010110111001011110010010101,11111111000000000000000000000000,ethernet4
106.111.53.194/8,255.0.0.0,01101010011011110011010111000010,11111111000000000000000000000000,ethernet27
21.182.143.187/8,255.0.0.0,00010101101101101000111110111011,11111111000000000000000000000000,ethernet20
93.121.208.2/8,255.0.0.0,01011101011110011101000000000010,11111111000000000000000000000000,ethernet4
137.51.78.25/16,255.255.0.0,10001001001100110100111000011001,11111111111111110000000000000000,ethernet13
207.70.18.93/24,255.255.255.0,11001111010001100001001001011101,11111111111111111111111100000000,ethernet33
218.37.74.104/24,255.255.255.0,11011010001001010100101001101000,11111111111111111111111100000000,ethernet28
148.158.76.57/16,255.255.0.0,10010100100111100100110000111001,11111111111111110000000000000000,ethernet4
62.163.181.90/8,255.0.0.0,00111110101000111011010101011010,11111111000000000000000000000000,ethernet13
113.195.100.251/8,255.0.0.0,01110001110000110110010011111011,11111111000000000000000000000000,ethernet1
145.87.244.135/16,255.255.0.0,10010001010101111111010010000111,11111111111111110000000000000000,ethernet38
167.84.108.131/16,255.255.0.0,10100111010101000110110010000011,11111111111111110000000000000000,ethernet37
190.113.170.75/16,255.255.0.0,10111110011100011010101001001011,11111111111111110000000000000000,ethernet42
180.107.9.237/16,255.255.0.0,10110100011010110000100111101101,11111111111111110000000000000000,ethernet19
54.203.137.152/8,255.0.0.0,00110110110010111000100110011000,11111111000000000000000000000000,ethernet29
64.63.133.239/8,255.0.0.0,01000000001111111000010111101111,11111111000000000000000000000000,ethernet21
18.210.190.243/8,255.0.0.0,00010010110100101011111011110011,11111111000000000000000000000000,ethernet4
85.112.72.151/8,255.0.0.0,01010101011100000100100010010111,11111111000000000000000000000000,ethernet5
74.192.88.208/8,255.0.0.0,01001010110000000101100011010000,11111111000000000000000000000000,ethernet17
165.136.138.39/16,255.255.0.0,10100101100010001000101000100111,11111111111111110000000000000000,ethernet34
159.67.17.87/16,255.255.0.0,10011111010000110001000101010111,11111111111111110000000000000000,ethernet23
71.33.131.17/8,255.0.0.0,01000111001000011000001100010001,11111111000000000000000000000000,ethernet40
223.17.154.110/24,255.255.255.0,11011111000100011001101001101110,11111111111111111111111100000000,ethernet23
182.103.141.18/16,255.255.0.0,10110110011001111000110100010010,11111111111111110000000000000000,ethernet17
169.33.199.183/16,255.255.0.0,10101001001000011100011110110111,11111111111111110000000000000000,ethernet11
67.244.239.125/8,255.0.0.0,01000011111101001110111101111101,11111111000000000000000000000000,ethernet8
222.22.176.71/24,255.255.255.0,11011110000101101011000001000111,11111111111111111111111100000000,ethernet44
3.215.215.10/8,255.0.0.0,00000011110101111101011100001010,11111111000000000000000000000000,ethernet39
183.90.182.79/16,255.255.0.0,10110111010110101011011001001111,11111111111111110000000000000000,ethernet32
160.149.165.45/16,255.255.0.0,10100000100101011010010100101101,11111111111111110000000000000000,ethernet45
69.23.88.110/8,255.0.0.0,01000101000101110101100001101110,11111111000000000000000000000000,ethernet11
139.170.144.171/16,255.255.0.0,10001011101010101001000010101011,11111111111111110000000000000000,ethernet9
171.175.29.89/16,255.255.0.0,10101011101011110001110101011001,11111111111111110000000000000000,ethernet24
157.192.120.169/16,255.255.0.0,10011101110000000111100010101001,11111111111111110000000000000000,ethernet50
125.72.53.179/8,255.0.0.0,01111101010010000011010110110011,11111111000000000000000000000000,ethernet7
1.158.177.130/8,255.0.0.0,00000001100111101011000110000010,11111111000000000000000000000000,ethernet29
16.191.93.215/8,255.0.0.0,00010000101111110101110111010111,11111111000000000000000000000000,ethernet42
97.227.219.43/8,255.0.0.0,01100001111000111101101100101011,11111111000000000000000000000000,ethernet20
150.164.115.214/16,255.255.0.0,10010110101001000111001111010110,11111111111111110000000000000000,ethernet33
198.199.123.80/24,255.255.255.0,11000110110001110111101101010000,11111111111111111111111100000000,ethernet42
223.198.198.41/24,255.255.255.0,11011111110001101100011000101001,11111111111111111111111100000000,ethernet8
46.144.242.218/8,255.0.0.0,00101110100100001111001011011010,11111111000000000000000000000000,ethernet3
65.174.135.225/8,255.0.0.0,01000001101011101000011111100001,11111111000000000000000000000000,ethernet4
179.241.104.111/16,255.255.0.0,10110011111100010110100001101111,11111111111111110000000000000000,ethernet46
204.230.231.236/24,255.255.255.0,11001100111001101110011111101100,11111111111111111111111100000000,ethernet1
219.32.251.226/24,255.255.255.0,11011011001000001111101111100010,11111111111111111111111100000000,ethernet2
217.139.199.86/24,255.255.255.0,11011001100010111100011101010110,11111111111111111111111100000000,ethernet3
206.219.48.116/24,255.255.255.0,11001110110110110011000001110100,11111111111111111111111100000000,ethernet41
110.121.11.139/8,255.0.0.0,01101110011110010000101110001011,11111111000000000000000000000000,ethernet16
10.198.153.228/8,255.0.0.0,00001010110001101001100111100100,11111111000000000000000000000000,ethernet41
166.48.248.87/16,255.255.0.0,10100110001100001111100001010111,11111111111111110000000000000000,ethernet16
204.100.55.239/24,255.255.255.0,11001100011001000011011111101111,11111111111111111111111100000000,ethernet26
57.134.85.18/8,255.0.0.0,00111001100001100101010100010010,11111111000000000000000000000000,ethernet19
179.226.233.130/16,255.255.0.0,10110011111000101110100110000010,11111111111111110000000000000000,ethernet24
196.52.229.82/24,255.255.255.0,11000100001101001110010101010010,11111111111111111111111100000000,ethernet7
173.54.79.159/16,255.255.0.0,10101101001101100100111110011111,11111111111111110000000000000000,ethernet44
88.218.66.212/8,255.0.0.0,01011000110110100100001011010100,11111111000000000000000000000000,ethernet30
158.49.107.221/16,255.255.0.0,10011110001100010110101111011101,11111111111111110000000000000000,ethernet45
102.242.55.17/8,255.0.0.0,01100110111100100011011100010001,11111111000000000000000000000000,ethernet27
56.63.187.123/8,255.0.0.0,00111000001111111011101101111011,11111111000000000000000000000000,ethernet25
63.60.175.99/8,255.0.0.0,00111111001111001010111101100011,11111111000000000000000000000000,ethernet44
204.15.159.165/24,255.255.255.0,11001100000011111001111110100101,11111111111111111111111100000000,ethernet11
116.185.41.106/8,255.0.0.0,01110100101110010010100101101010,11111111000000000000000000000000,ethernet6
85.191.67.227/8,255.0.0.0,01010101101111110100001111100011,11111111000000000000000000000000,ethernet39
211.133.165.27/24,255.255.255.0,11010011100001011010010100011011,11111111111111111111111100000000,ethernet11
90.156.181.240/8,255.0.0.0,01011010100111001011010111110000,11111111000000000000000000000000,ethernet7
80.6.204.46/8,255.0.0.0,01010000000001101100110000101110,11111111000000000000000000000000,ethernet7
185.89.120.241/16,255.255.0.0,10111001010110010111100011110001,11111111111111110000000000000000,ethernet18
98.20.246.76/8,255.0.0.0,01100010000101001111011001001100,11111111000000000000000000000000,ethernet34
81.170.40.151/8,255.0.0.0,01010001101010100010100010010111,11111111000000000000000000000000,ethernet45
222.110.42.138/24,255.255.255.0,11011110011011100010101010001010,11111111111111111111111100000000,ethernet13
192.64.6.14/24,255.255.255.0,11000000010000000000011000001110,11111111111111111111111100000000,ethernet39
148.41.226.172/16,255.255.0.0,10010100001010011110001010101100,11111111111111110000000000000000,ethernet27
135.242.222.4/16,255.255.0.0,10000111111100101101111000000100,11111111111111110000000000000000,ethernet14
154.205.110.178/16,255.255.0.0,10011010110011010110111010110010,11111111111111110000000000000000,ethernet23
160.19.173.154/16,255.255.0.0,10100000000100111010110110011010,11111111111111110000000000000000,ethernet39
212.150.3.234/24,255.255.255.0,11010100100101100000001111101010,11111111111111111111111100000000,ethernet1
189.41.28.117/16,255.255.0.0,10111101001010010001110001110101,11111111111111110000000000000000,ethernet10
172.49.44.12/16,255.255.0.0,10101100001100010010110000001100,11111111111111110000000000000000,ethernet1
138.50.55.96/16,255.255.0.0,10001010001100100011011101100000,11111111111111110000000000000000,ethernet45
163.97.38.31/16,255.255.0.0,10100011011000010010011000011111,11111111111111110000000000000000,ethernet36
158.98.6.46/16,255.255.0.0,10011110011000100000011000101110,11111111111111110000000000000000,ethernet17
208.1.229.175/24,255.255.255.0,11010000000000011110010110101111,11111111111111111111111100000000,ethernet14
180.40.114.146/16,255.255.0.0,10110100001010000111001010010010,11111111111111110000000000000000,ethernet15
152.50.155.163/16,255.255.0.0,10011000001100101001101110100011,11111111111111110000000000000000,ethernet6
26.146.242.161/8,255.0.0.0,00011010100100101111001010100001,11111111000000000000000000000000,ethernet33
221.238.113.134/24,255.255.255.0,11011101111011100111000110000110,11111111111111111111111100000000,ethernet23
36.56.143.74/8,255.0.0.0,00100100001110001000111101001010,11111111000000000000000000000000,ethernet17
124.112.116.238/8,255.0.0.0,01111100011100000111010011101110,11111111000000000000000000000000,ethernet11
123.102.168.78/8,255.0.0.0,01111011011001101010100001001110,11111111000000000000000000000000,ethernet12
206.17.197.51/24,255.255.255.0,11001110000100011100010100110011,11111111111111111111111100000000,ethernet30
143.162.61.157/16,255.255.0.0,10001111101000100011110110011101,11111111111111110000000000000000,ethernet1
215.131.239.198/24,255.255.255.0,11010111100000111110111111000110,11111111111111111111111100000000,ethernet26
194.18.43.58/24,255.255.255.0,11000010000100100010101100111010,11111111111111111111111100000000,ethernet16
20.94.137.210/8,255.0.0.0,00010100010111101000100111010010,11111111000000000000000000000000,ethernet10
122.10.222.32/8,255.0.0.0,01111010000010101101111000100000,11111111000000000000000000000000,ethernet42
8.138.184.134/8,255.0.0.0,00001000100010101011100010000110,11111111000000000000000000000000,ethernet4
142.165.92.130/16,255.255.0.0,10001110101001010101110010000010,11111111111111110000000000000000,ethernet22
19.144.58.114/8,255.0.0.0,00010011100100000011101001110010,11111111000000000000000000000000,ethernet33
112.124.220.1/8,255.0.0.0,01110000011111001101110000000001,11111111000000000000000000000000,ethernet22
170.123.133.153/16,255.255.0.0,10101010011110111000010110011001,11111111111111110000000000000000,ethernet5
126.16.24.11/8,255.0.0.0,01111110000100000001100000001011,11111111000000000000000000000000,ethernet27
51.122.138.19/8,255.0.0.0,00110011011110101000101000010011,11111111000000000000000000000000,ethernet9
64.201.33.4/8,255.0.0.0,01000000110010010010000100000100,11111111000000000000000000000000,ethernet29
220.205.30.3/24,255.255.255.0,11011100110011010001111000000011,11111111111111111111111100000000,ethernet21
166.174.202.138/16,255.255.0.0,10100110101011101100101010001010,11111111111111110000000000000000,ethernet33
175.228.59.59/16,255.255.0.0,10101111111001000011101100111011,11111111111111110000000000000000,ethernet35
3.130.89.99/8,255.0.0.0,00000011100000100101100101100011,11111111000000000000000000000000,ethernet25
52.250.33.115/8,255.0.0.0,00110100111110100010000101110011,11111111000000000000000000000000,ethernet37
212.83.137.137/24,255.255.255.0,11010100010100111000100110001001,11111111111111111111111100000000,ethernet38
16.17.96.49/8,255.0.0.0,00010000000100010110000000110001,11111111000000000000000000000000,ethernet27
29.184.52.134/8,255.0.0.0,00011101101110000011010010000110,11111111000000000000000000000000,ethernet24
200.122.74.220/24,255.255.255.0,11001000011110100100101011011100,11111111111111111111111100000000,ethernet46
99.176.59.100/8,255.0.0.0,01100011101100000011101101100100,11111111000000000000000000000000,ethernet19
183.196.64.66/16,255.255.0.0,10110111110001000100000001000010,11111111111111110000000000000000,ethernet20
84.2.40.250/8,255.0.0.0,01010100000000100010100011111010,11111111000000000000000000000000,ethernet17
194.4.75.47/24,255.255.255.0,11000010000001000100101100101111,11111111111111111111111100000000,ethernet38
193.63.107.237/24,255.255.255.0,11000001001111110110101111101101,11111111111111111111111100000000,ethernet43
121.224.227.147/8,255.0.0.0,01111001111000001110001110010011,11111111000000000000000000000000,ethernet6
170.210.202.216/16,255.255.0.0,10101010110100101100101011011000,11111111111111110000000000000000,ethernet25
31.130.29.109/8,255.0.0.0,00011111100000100001110101101101,11111111000000000000000000000000,ethernet37
30.160.197.198/8,255.0.0.0,00011110101000001100010111000110,11111111000000000000000000000000,ethernet25
111.38.240.227/8,255.0.0.0,01101111001001101111000011100011,11111111000000000000000000000000,ethernet33
160.8.78.123/16,255.255.0.0,10100000000010000100111001111011,11111111111111110000000000000000,ethernet25
177.218.234.214/16,255.255.0.0,10110001110110101110101011010110,11111111111111110000000000000000,ethernet15
95.168.11.167/8,255.0.0.0,01011111101010000000101110100111,11111111000000000000000000000000,ethernet4
221.233.24.253/24,255.255.255.0,11011101111010010001100011111101,11111111111111111111111100000000,ethernet39
104.191.73.216/8,255.0.0.0,01101000101111110100100111011000,11111111000000000000000000000000,ethernet20
204.167.133.78/24,255.255.255.0,11001100101001111000010101001110,11111111111111111111111100000000,ethernet34
217.166.147.65/24,255.255.255.0,11011001101001101001001101000001,11111111111111111111111100000000,ethernet13
180.28.53.17/16,255.255.0.0,10110100000111000011010100010001,11111111111111110000000000000000,ethernet46
141.105.194.96/16,255.255.0.0,10001101011010011100001001100000,11111111111111110000000000000000,ethernet41
46.116.61.107/8,255.0.0.0,00101110011101000011110101101011,11111111000000000000000000000000,ethernet8
164.199.124.114/16,255.255.0.0,10100100110001110111110001110010,11111111111111110000000000000000,ethernet26
30.218.54.83/8,255.0.0.0,00011110110110100011011001010011,11111111000000000000000000000000,ethernet1
141.16.31.35/16,255.255.0.0,10001101000100000001111100100011,11111111111111110000000000000000,ethernet44
197.112.156.36/24,255.255.255.0,11000101011100001001110000100100,11111111111111111111111100000000,ethernet42
85.39.169.171/8,255.0.0.0,01010101001001111010100110101011,11111111000000000000000000000000,ethernet29
35.28.85.22/8,255.0.0.0,00100011000111000101010100010110,11111111000000000000000000000000,ethernet3
149.55.25.116/16,255.255.0.0,10010101001101110001100101110100,11111111111111110000000000000000,ethernet42
189.125.176.77/16,255.255.0.0,10111101011111011011000001001101,11111111111111110000000000000000,ethernet42
62.52.253.149/8,255.0.0.0,00111110001101001111110110010101,11111111000000000000000000000000,ethernet19
103.65.125.76/8,255.0.0.0,01100111010000010111110101001100,11111111000000000000000000000000,ethernet24
22.222.155.198/8,255.0.0.0,00010110110111101001101111000110,11111111000000000000000000000000,ethernet35
195.241.215.156/24,255.255.255.0,11000011111100011101011110011100,11111111111111111111111100000000,ethernet19
206.157.123.213/24,255.255.255.0,11001110100111010111101111010101,11111111111111111111111100000000,ethernet24
84.198.2.73/8,255.0.0.0,01010100110001100000001001001001,11111111000000000000000000000000,ethernet7
85.180.157.18/8,255.0.0.0,01010101101101001001110100010010,11111111000000000000000000000000,ethernet1
22.36.168.26/8,255.0.0.0,00010110001001001010100000011010,11111111000000000000000000000000,ethernet48
158.103.248.38/16,255.255.0.0,10011110011001111111100000100110,11111111111111110000000000000000,ethernet11
201.72.0.17/24,255.255.255.0,11001001010010000000000000010001,11111111111111111111111100000000,ethernet47
211.163.77.62/24,255.255.255.0,11010011101000110100110100111110,11111111111111111111111100000000,ethernet21
175.62.123.170/16,255.255.0.0,10101111001111100111101110101010,11111111111111110000000000000000,ethernet21
168.48.0.143/16,255.255.0.0,10101000001100000000000010001111,11111111111111110000000000000000,ethernet46
45.175.54.9/8,255.0.0.0,00101101101011110011011000001001,11111111000000000000000000000000,ethernet49
46.188.175.34/8,255.0.0.0,00101110101111001010111100100010,11111111000000000000000000000000,ethernet15
178.217.122.171/16,255.255.0.0,10110010110110010111101010101011,11111111111111110000000000000000,ethernet40
216.129.217.25/24,255.255.255.0,11011000100000011101100100011001,11111111111111111111111100000000,ethernet25
5.238.49.236/8,255.0.0.0,00000101111011100011000111101100,11111111000000000000000000000000,ethernet35
47.4.167.197/8,255.0.0.0,00101111000001001010011111000101,11111111000000000000000000000000,ethernet24
21.248.179.119/8,255.0.0.0,00010101111110001011001101110111,11111111000000000000000000000000,ethernet2
131.116.99.61/16,255.255.0.0,10000011011101000110001100111101,11111111111111110000000000000000,ethernet28
62.55.95.84/8,255.0.0.0,00111110001101110101111101010100,11111111000000000000000000000000,ethernet30
50.34.218.146/8,255.0.0.0,00110010001000101101101010010010,11111111000000000000000000000000,ethernet49
126.154.135.113/8,255.0.0.0,01111110100110101000011101110001,11111111000000000000000000000000,ethernet29
131.245.227.77/16,255.255.0.0,10000011111101011110001101001101,11111111111111110000000000000000,ethernet35
137.247.94.82/16,255.255.0.0,10001001111101110101111001010010,11111111111111110000000000000000,ethernet31
201.114.253.248/24,255.255.255.0,11001001011100101111110111111000,11111111111111111111111100000000,ethernet13
37.197.63.58/8,255.0.0.0,00100101110001010011111100111010,11111111000000000000000000000000,ethernet23
174.233.222.125/16,255.255.0.0,10101110111010011101111001111101,11111111111111110000000000000000,ethernet41
49.200.176.222/8,255.0.0.0,00110001110010001011000011011110,11111111000000000000000000000000,ethernet4
28.136.5.114/8,255.0.0.0,00011100100010000000010101110010,11111111000000000000000000000000,ethernet37
9.207.186.216/8,255.0.0.0,00001001110011111011101011011000,11111111000000000000000000000000,ethernet40
44.34.9.43/8,255.0.0.0,00101100001000100000100100101011,11111111000000000000000000000000,ethernet43
199.10.40.197/24,255.255.255.0,11000111000010100010100011000101,11111111111111111111111100000000,ethernet20
78.64.8.191/8,255.0.0.0,01001110010000000000100010111111,11111111000000000000000000000000,ethernet29
94.171.216.65/8,255.0.0.0,01011110101010111101100001000001,11111111000000000000000000000000,ethernet28
6.110.224.39/8,255.0.0.0,00000110011011101110000000100111,11111111000000000000000000000000,ethernet30
42.207.167.104/8,255.0.0.0,00101010110011111010011101101000,11111111000000000000000000000000,ethernet32
182.192.241.33/16,255.255.0.0,10110110110000001111000100100001,11111111111111110000000000000000,ethernet1
107.88.138.4/8,255.0.0.0,01101011010110001000101000000100,11111111000000000000000000000000,ethernet45
20.248.93.84/8,255.0.0.0,00010100111110000101110101010100,11111111000000000000000000000000,ethernet30
196.47.119.70/24,255.255.255.0,11000100001011110111011101000110,11111111111111111111111100000000,ethernet34
146.88.57.12/16,255.255.0.0,10010010010110000011100100001100,11111111111111110000000000000000,ethernet33
104.247.12.42/8,255.0.0.0,01101000111101110000110000101010,11111111000000000000000000000000,ethernet35
173.189.200.151/16,255.255.0.0,10101101101111011100100010010111,11111111111111110000000000000000,ethernet45
160.172.181.57/16,255.255.0.0,10100000101011001011010100111001,11111111111111110000000000000000,ethernet5
